240693,'Anglesey Arms','Halnaker, Boxgrove, West Sussex','PO18 0NQ',490846,108134,50.865585,-0.710445,Chichester

240709,'Badgers Tavern','Station Road, Petworth, West Sussex','GU28 0JF',497048,119162,50.963717,-0.619411,Chichester

240719,'Barley Mow','Breakneck Lane, Walderton, Chichester, West Sussex','PO18 9ED',479004,110627,50.889736,-0.878145,Chichester

240723,'Basmati Restaurant','Swan House, Market Square, Petworth, West Sussex','GU28 0AH',497651,121679,50.986243,-0.610152,Chichester

240737,'Bell Inn','3 Broyle Road, Chichester, West Sussex','PO19 6AT',486060,105439,50.842087,-0.779070,Chichester

240750,'Black Horse Inn','Byworth, Petworth, West Sussex','GU28 0HL',498744,121011,50.980051,-0.594766,Chichester

240763,'Bosham Football Club','Pavilion, Bosham Recreation Ground, Walton Lane, Bosham','PO18 8QF',481146,104399,50.833446,-0.849077,Chichester

240764,'Bosham Inn','Main Road, Bosham, Chichester, West Sussex','PO18 8PW',479362,105357,50.842306,-0.874197,Chichester

240766,'Bosham Sailing Club','The Quay, Quay Meadow, Bosham, Chichester','PO18 8LU',480388,103808,50.828239,-0.859968,Chichester

240776,'Bracklesham Social Club','Bracklesham Caravan And Boat Club, East Bracklesham Drive, Bracklesham, Chichester','PO20 8JP',481441,95830,50.756372,-0.846800,Chichester

240800,'Cabana Club','Selsey Country Club, Golf Links Lane, Selsey, Chichester','PO20 9DR',485027,94694,50.745636,-0.796221,Chichester

240895,'Chichester Baptist Church','124 Sherborne Road, Chichester, West Sussex','PO19 3AW',485445,105678,50.844327,-0.787761,Chichester

240896,'Chichester Boys Club','34A Little London, Chichester, West Sussex','PO19 1PL',486302,104861,50.836864,-0.775783,Chichester

240899,'Chichester City Club','13 North Pallant, Chichester, West Sussex','PO19 1TQ',486148,104725,50.835655,-0.778002,Chichester

240901,'Chichester Club Kitchen','Chichester City Club, 13 North Pallant, Chichester, West Sussex','PO19 1TQ',486148,104725,50.835655,-0.778002,Chichester

240919,'Chichester Snooker Club','Terminus Road, Chichester, West Sussex','PO19 8TL',485663,104242,50.831393,-0.784986,Chichester

240921,'Chichester Watersports Centre','Westhampnett Lake, Coach Road(north), Westhampnett, Chichester','PO18 0NX',488339,106140,50.848046,-0.746541,Chichester

240922,'Chichester Yacht Club','Premier Marinas, Chichester Marina, Birdham, Chichester','PO20 7EJ',483003,101013,50.802741,-0.823478,Chichester

240938,'Club House','Cowdray Park Golf Club, Easebourne, West Sussex','GU29 0BB',489781,122403,50.994031,-0.722065,Chichester

240939,'Coach And Horses','The Square, Compton, Chichester, West Sussex','PO18 9HA',477634,114821,50.927628,-0.896728,Chichester

240988,'Country Inn','Severals Road, Bepton, Midhurst, West Sussex','GU29 0LR',486973,120623,50.978459,-0.762492,Chichester

240997,'Cricketers Arms','Durbans Road, Wisborough Green, Billingshurst, West Sussex','RH14 0DG',504995,126214,51.025717,-0.504249,Chichester

241002,'Crown And Anchor','Dell Quay Road, Dell Quay, Appledram, Chichester','PO20 7EE',483582,102870,50.819353,-0.814841,Chichester

241008,'CYE Sailing Centre','Jubilee Building, Chidham Lane, Chidham, Chichester','PO18 8TE',479113,102848,50.819782,-0.878274,Chichester

241028,'DQSC Dellquay SC','Dell Quay Sailing Club, Dell Quay Road, Dell Quay, Appledram','PO20 7EE',483582,102870,50.819353,-0.814841,Chichester

241033,'Duke And Rye','St Peters Market, West Street, Chichester, West Sussex','PO19 1QU',485890,104865,50.836952,-0.781618,Chichester

241053,'Embassy Club Bar','The Waterfront Complex, West Sands Caravan Park, Mill Lane, Selsey','PO20 9BH',484339,93462,50.734660,-0.806252,Chichester

241067,'Faustinos Wine Bar','2A North Street, Midhurst, West Sussex','GU29 9DJ',488659,121697,50.987858,-0.738234,Chichester

241075,'Fernhurst Club','8 Midhurst Road, Fernhurst, Haslemere, West Sussex','GU27 3EE',489592,128422,51.048175,-0.723283,Chichester

241079,'Fernhurst Recreation Ground','The Pavillion, Recreation Ground, The Green, Fernhurst','GU27 3HY',490014,128553,51.049282,-0.717221,Chichester

241080,'Fernhurst Youth Club','Haslemere Road, Fernhurst, Haslemere, West Sussex','GU27 3EA',489695,128674,51.050420,-0.721741,Chichester

241087,'Fishbourne Centre','Blackboy Lane, Fishbourne, Chichester, West Sussex','PO18 8BE',483260,105020,50.838729,-0.818923,Chichester

241104,'Foresters Arms','The Street, Graffham, Petworth, West Sussex','GU28 0QA',492955,117626,50.950592,-0.678070,Chichester

241105,'Foresters Arms','Village Road, Kirdford, Billingshurst, West Sussex','RH14 0ND',501705,126870,51.032205,-0.550961,Chichester

241107,'Fox and Hounds','Common Road, Funtington, Chichester, West Sussex','PO18 9LL',480014,108344,50.869071,-0.864287,Chichester

241108,'Foxbridge Golf Club','Foxbridge Lane, Kirdford, Billingshurst, West Sussex','RH14 0LB',502096,130145,51.061576,-0.544465,Chichester

241141,'Half Moon','Petersfield Road, Midhurst, West Sussex','GU29 9LL',487769,121818,50.989082,-0.750882,Chichester

241142,'Half Moon Inn','Valentines Hill, Northchapel, Petworth, West Sussex','GU28 9HP',495175,129420,51.056237,-0.643387,Chichester

241143,'Halfway Bridge Inn','Halfway Bridge, Lodsworth, Petworth, West Sussex','GU28 9BP',493066,121972,50.989626,-0.675380,Chichester

241151,'Harbour Way Country Club','Chichester Road, West Wittering, Chichester, West Sussex','PO20 8QA',480576,99166,50.786468,-0.858331,Chichester

241153,'Hare And Hounds','Stoughton, Chichester, West Sussex','PO18 9JQ',480319,111517,50.897556,-0.859257,Chichester

241160,'Harting Mens Club','Church Lane, South Harting, Petersfield, West Sussex','GU31 5QF',478390,119465,50.969279,-0.884975,Chichester

241185,'Horse and Groom','East Ashling, Chichester, West Sussex','PO18 9AX',482037,107717,50.863151,-0.835685,Chichester

241200,'Itchenor Sailing Club','Pier Point Road, Itchenor, Chichester, West Sussex','PO20 7AG',480065,101312,50.805842,-0.865111,Chichester

241203,'J D Wetherspoon','The Dolphin And Anchor, 9 West Street, Chichester, West Sussex','PO19 1QD',486048,104844,50.836740,-0.779394,Chichester

241209,'JB's Takeaway & Ships Bar','JB Complex, White Horse Caravan Park, Paddock Lane, Selsey','PO20 9EJ',485319,93883,50.738302,-0.792271,Chichester

241272,'Liphook Golf Club','Wheatsheaf Enclosure, Milland, Liphook, West Sussex','GU30 7EH',483546,129677,51.060355,-0.809213,Chichester

241335,'Medmerry Arms, (Medmerry Park Limited)','Medmerry Park, Stoney Lane, Earnley, Chichester','PO20 7JP',481988,95848,50.756448,-0.839029,Chichester

241347,'Midhurst Sports Association','Midhurst Sports Association Grounds, Cowdray Ruins, North Street, Midhurst','GU29 9AL',489102,121618,50.987079,-0.731944,Chichester

241378,'Nava Thai','The Hamilton Arms, School Lane, Stedham, Midhurst','GU29 0NZ',485851,122250,50.993245,-0.778086,Chichester

241384,'New Park Sports And Social Club','New Park Community Association, New Park Centre, New Park Road, Chichester','PO19 7XY',486467,104986,50.837963,-0.773397,Chichester

241393,'Noahs Ark Inn','Dial Green Lane, Lurgashall, Petworth, West Sussex','GU28 9ET',493722,127085,51.035503,-0.664716,Chichester

241401,'Northchapel Working Mens Club','Pipers Lane, Northchapel, Petworth, West Sussex','GU28 9JA',495401,129484,51.056784,-0.640147,Chichester

241421,'Old House At Home','Cot Lane, Chidham, Chichester, West Sussex','PO18 8SU',478671,104019,50.830370,-0.884296,Chichester

241428,'Onslow Arms','High Street, Loxwood, Billingshurst, West Sussex','RH14 0RD',503961,131291,51.071543,-0.517532,Chichester

241431,'Oscars Out Of School Club','Fernhurst Primary School, Haslemere Road, Fernhurst, Haslemere','GU27 3EA',489695,128674,51.050423,-0.721741,Chichester

241460,'Petworth Club','Lombard Street, Petworth, West Sussex','GU28 0AG',497684,121761,50.986974,-0.609660,Chichester

241477,'Pond Barn','Pond Road, Bracklesham Bay, Chichester, West Sussex','PO20 8HR',480667,96516,50.762638,-0.857606,Chichester

241495,'Rainbow Inn','56 St Pauls Road, Chichester, West Sussex','PO19 3BW',485877,105439,50.842123,-0.781668,Chichester

241502,'Richmond Arms','Mill Road, West Ashling, Chichester, West Sussex','PO18 8EA',480555,107320,50.859790,-0.856826,Chichester

241504,'Rising Sun','Milland Road, Milland, Liphook, West Sussex','GU30 7NA',484213,126377,51.030599,-0.800464,Chichester

241518,'Royal British Legion Club','31 High Street, Selsey, Chichester, West Sussex','PO20 0RB',485514,93512,50.734938,-0.789594,Chichester

241519,'Royal Oak','Hooksway Lane, Hooksway, Chichester, West Sussex','PO18 9JZ',481616,116313,50.940493,-0.839747,Chichester

241520,'Royal Oak','Oaklands Lane, West Lavington, Midhurst, West Sussex','GU29 0EP',488569,120162,50.974072,-0.739876,Chichester

241551,'Selsey Football And Social Club','High Street, Selsey, Chichester, West Sussex','PO20 0QG',485360,93326,50.733288,-0.791819,Chichester

241561,'Sharon Danks','Royal British Legion Club, Legion Way, East Wittering, Chichester','PO20 8PA',480379,96707,50.764387,-0.861647,Chichester

241566,'Sidlesham Football Club','Selsey Road, Sidlesham, Chichester, West Sussex','PO20 7RD',485646,97918,50.774531,-0.786701,Chichester

241567,'Silver Horseshoe Club','Holdens Caravan Park, Bracklesham Lane, Bracklesham Bay, Chichester','PO20 8JG',481030,97132,50.768117,-0.852339,Chichester

241572,'Site Shop','Selsey Country Club, Golf Links Lane, Selsey, Chichester','PO20 9DR',485027,94694,50.745636,-0.796221,Chichester

241589,'Solent View Bar','The Waterfront Complex, West Sands Caravan Park, Mill Lane, Selsey','PO20 9BH',484339,93462,50.734660,-0.806252,Chichester

241595,'Southbourne Club','56 New Road, Southbourne, Emsworth, Hampshire','PO10 8JX',477135,105716,50.845834,-0.905746,Chichester

241611,'Sports Bar','2 - 3 New Parade, Shore Road, East Wittering, Chichester','PO20 8EA',479465,97231,50.769233,-0.874491,Chichester

241628,'Stag Inn','Balls Cross Road, Balls Cross, Petworth, West Sussex','GU28 9JP',498749,126295,51.027551,-0.593259,Chichester

241629,'Stags Head','The Square, Westbourne, Emsworth, Hampshire','PO10 8UE',475681,107431,50.861436,-0.926040,Chichester

241648,'Sun Inn','Loxwood Road, Plaistow, Billingshurst, West Sussex','RH14 0PX',500516,130948,51.069073,-0.566781,Chichester

241696,'Thatched Tavern','Church Road, East Wittering, Chichester, West Sussex','PO20 8PU',479919,97989,50.775976,-0.867890,Chichester

241697,'The Anchor Bleu','Anchor Bleu, High Street, Bosham, Chichester','PO18 8LS',480537,103865,50.828730,-0.857854,Chichester

241698,'The Anchor Inn','Selsey Road, Sidlesham, Chichester, West Sussex','PO20 7QU',485366,99065,50.784875,-0.790405,Chichester

241705,'The Barleycorn','Main Road, Nutbourne, Chichester, West Sussex','PO18 8RS',478671,105425,50.843020,-0.883995,Chichester

241713,'The Black Fox Inn','Portsmouth Road, Milland, Liphook, West Sussex','GU30 7JJ',482896,129061,51.054920,-0.818627,Chichester

241714,'The Blacksmiths','Selsey Road, Donnington, Chichester, West Sussex','PO20 7PR',485322,101755,50.809066,-0.790405,Chichester

241723,'The Bulls Head','99 Fishbourne Road West, Fishbourne, Chichester, West Sussex','PO19 3JP',483724,104639,50.835237,-0.812422,Chichester

241727,'The Chantry','27 - 28 Southgate, Chichester, West Sussex','PO19 1ES',485990,104481,50.833485,-0.780288,Chichester

241730,'The Chichester Inn','38 West Street, Chichester, West Sussex','PO19 1RP',485794,104841,50.836750,-0.783001,Chichester

241751,'The Crab And Lobster','Mill Lane, Sidlesham, Chichester, West Sussex','PO20 7NB',486230,97355,50.769392,-0.778552,Chichester

241752,'The Crab Pot','145 High Street, Selsey, Chichester, West Sussex','PO20 0QB',485326,93177,50.731953,-0.792335,Chichester

241756,'The Cricketers','High Street, Duncton, Petworth, West Sussex','GU28 0LB',495972,117087,50.945253,-0.635275,Chichester

241757,'The Cricketers Inn','Commonside, Westbourne, Emsworth, Hampshire','PO10 8TA',475734,108151,50.867912,-0.925138,Chichester

241758,'The Crown Inn','107 High Street, Selsey, Chichester, West Sussex','PO20 0QL',485404,93310,50.733138,-0.791199,Chichester

241760,'The Dean Inn','West Dean, Chichester, West Sussex','PO18 0QX',485753,112475,50.905389,-0.781781,Chichester

241761,'The Duke Of Cumberland Arms','Henley, Haslemere, West Sussex','GU27 3HQ',489488,125727,51.023959,-0.725434,Chichester

241762,'The Earl Of March','Lavant, West Sussex','PO18 0BQ',485740,108283,50.867703,-0.782962,Chichester

241763,'The Eastgate PH','4 The Hornet, Chichester, West Sussex','PO19 7JG',486561,104787,50.836151,-0.772124,Chichester

241765,'The Elsted Inn','Fitzhall Road, Elsted, Midhurst, West Sussex','GU29 0JT',483266,120606,50.978853,-0.815287,Chichester

241770,'The Fishermans Joy','71 East Street, Selsey, Chichester, West Sussex','PO20 0BU',485911,93032,50.730564,-0.784082,Chichester

241772,'The Foundry','1 Southgate, Chichester, West Sussex','PO19 8DH',485913,104363,50.832444,-0.781423,Chichester

241774,'The Four Chesnuts','234 Oving Road, Chichester, West Sussex','PO19 7EJ',487146,104859,50.836710,-0.763787,Chichester

241775,'The Fox Goes Free','East Dean Lane, Charlton, Singleton, Chichester','PO18 0HU',488778,112956,50.909257,-0.738654,Chichester

241776,'The Friendship Centre (Petworth And District Over 60's Club)','Trumps Alley, East Street, Petworth, West Sussex','GU28 0AB',497742,121751,50.986874,-0.608836,Chichester

241779,'The George And Dragon','51 North Street, Chichester, West Sussex','PO19 1NQ',486121,105172,50.839677,-0.778266,Chichester

241780,'The George Inn','Eartham, Chichester, West Sussex','PO18 0LT',493922,109553,50.877851,-0.666383,Chichester

241783,'The Goodwood Hotel','Goodwood, Chichester, West Sussex','PO18 0QB',489246,108185,50.866301,-0.733162,Chichester

241789,'The Greyhound Inn','Cocking Causeway, Cocking, Midhurst, West Sussex','GU29 9QH',488227,119652,50.969539,-0.744883,Chichester

241790,'The Gribble Inn','Gribble Lane, Oving, Chichester, West Sussex','PO20 2BP',489947,105067,50.838152,-0.723969,Chichester

241791,'The Half Moon','Half Moon Inn, Glasshouse Lane, Kirdford, Billingshurst','RH14 0LT',501759,126558,51.029392,-0.550279,Chichester

241793,'The Hole In The Wall','St Martins Street, Chichester, West Sussex','PO19 1NP',486145,104854,50.836815,-0.778000,Chichester

241794,'The Hollist Arms','The Street, Lodsworth, Petworth, West Sussex','GU28 9BZ',492751,123162,51.000384,-0.679563,Chichester

241795,'The Hornet Alehouse','23 The Hornet, Chichester, West Sussex','PO19 7JL',486548,104809,50.836350,-0.772288,Chichester

241801,'The Jolly Drover','London Road, Hill Brow, Liss, Hampshire','GU33 7QL',478848,126283,51.030514,-0.876975,Chichester

241803,'The Kings Arms','Midhurst Road, Fernhurst, Haslemere, West Sussex','GU27 3HA',489489,126860,51.034145,-0.725126,Chichester

241804,'The Lamb Inn','Chichester Road, West Wittering, Chichester, West Sussex','PO20 8QA',480576,99166,50.786468,-0.858331,Chichester

241806,'The Last Drop','Grove Lane, Petworth, West Sussex','GU28 0HY',498013,120715,50.977506,-0.605256,Chichester

241809,'The Lickfold Inn','Surrey Road, Lickfold, Lurgashall, Petworth','GU28 9EY',492592,126344,51.029015,-0.681017,Chichester

241817,'The Midhurst Club','North Street, Midhurst, West Sussex','GU29 9DR',488635,121756,50.988392,-0.738548,Chichester

241818,'The Mill','Shottermill Road, Hammer, Linchmere, Haslemere','GU27 3QE',488298,132486,51.084906,-0.740736,Chichester

241819,'The Nags Head','3 St Pancras, Chichester, West Sussex','PO19 7SJ',486507,104861,50.836833,-0.772859,Chichester

241821,'The Neptune Inn','120 High Street, Selsey, Chichester, West Sussex','PO20 0QE',485296,93197,50.732137,-0.792755,Chichester

241825,'The Ocean Bar','The Waterfront Complex, West Sands Caravan Park, Mill Lane, Selsey','PO20 9BH',484339,93462,50.734660,-0.806252,Chichester

241827,'The Old Cross','65 North Street, Chichester, West Sussex','PO19 1LP',486112,104993,50.838070,-0.778450,Chichester

241828,'The Old House At Home','Cakeham Road, West Wittering, Chichester, West Sussex','PO20 8AD',477943,98360,50.779589,-0.895831,Chichester

241836,'The Park Tavern','11 Priory Road, Chichester, West Sussex','PO19 1NS',486211,105037,50.838450,-0.777020,Chichester

241846,'The Red Lion','The Green, Fernhurst, Haslemere, West Sussex','GU27 3HY',490014,128553,51.049283,-0.717221,Chichester

241847,'The Richmond','9 Stockbridge Road, Chichester, West Sussex','PO19 8DT',485842,104153,50.830558,-0.782466,Chichester

241850,'The Royal British Legion','Grove Street, Petworth, West Sussex','GU28 0BD',497930,121421,50.983867,-0.606248,Chichester

241851,'The Royal Oak','Pook Lane, Lavant, Chichester, West Sussex','PO18 0AX',486330,108481,50.869387,-0.774520,Chichester

241855,'The Ship Inn','The Street, Itchenor, Chichester, West Sussex','PO20 7AH',479978,101323,50.805953,-0.866343,Chichester

241857,'The Shore Inn','Shore Road, East Wittering, Chichester, West Sussex','PO20 8DZ',479451,97126,50.768290,-0.874712,Chichester

241858,'The Sir Roger Tichborne','Loxwood Road, Alfold Bars, Loxwood, Billingshurst','RH14 0QS',503708,133371,51.090277,-0.520560,Chichester

241860,'The Spotted Cow','Selsey Road, Hunston, Chichester, West Sussex','PO20 1PD',486256,101986,50.811014,-0.777112,Chichester

241861,'The Squire And Horse Inn','Bury Common, Bury, Pulborough, West Sussex','RH20 1NS',500801,112988,50.907572,-0.567692,Chichester

241862,'The Star','Market Square, Petworth, West Sussex','GU28 0AH',497651,121679,50.986243,-0.610152,Chichester

241864,'The Stonemasons Inn','North Street, Petworth, West Sussex','GU28 9NL',497679,122466,50.993313,-0.609542,Chichester

241866,'The Sussex Brewery','36 Main Road, Southbourne, Emsworth, Hampshire','PO10 8AU',475461,105740,50.846271,-0.929513,Chichester

241869,'The Swan Inn','Lower Street, Fittleworth, Pulborough, West Sussex','RH20 1EL',501053,118620,50.958158,-0.562563,Chichester

241870,'The Swan Inn','Red Lion Street, Midhurst, West Sussex','GU29 9PB',488671,121460,50.985716,-0.738107,Chichester

241872,'The Sylvia Beaufoy Youth Centre','Midhurst Road, Petworth, West Sussex','GU28 0ET',497562,121439,50.984100,-0.611484,Chichester

241873,'The Three Crowns','Billingshurst Road, Wisborough Green, Billingshurst, West Sussex','RH14 0DX',505052,125922,51.023082,-0.503521,Chichester

241874,'The Three Moles','Selham Road, Selham, Lodsworth, Petworth','GU28 0PN',493496,120677,50.977915,-0.669588,Chichester

241878,'The Unicorn Inn','Heyshott Street, Heyshott, Midhurst, West Sussex','GU29 0DL',489869,118003,50.954470,-0.721911,Chichester

241888,'The Welldiggers Arms','Low Heath, Petworth, West Sussex','GU28 0HG',499390,120977,50.979626,-0.585577,Chichester

241892,'The Woolpack','71 Fishbourne Road West, Fishbourne, Chichester, West Sussex','PO19 3JJ',483892,104664,50.835437,-0.810031,Chichester

241895,'Three Horseshoes','Station Road, Elsted, Midhurst, West Sussex','GU29 0JY',481626,119651,50.970502,-0.838857,Chichester

241899,'Tillington Village Hall Management Committee','Tillington Village Hall, Tillington, Petworth, West Sussex','GU28 9AF',496270,122056,50.989855,-0.629721,Chichester

241928,'Victoria Inn','West Marden, West Sussex','PO18 9EN',477234,113592,50.916641,-0.902678,Chichester

241930,'Viking Bar','The Viking, Green Lawns Caravan Park, Chichester Road, Selsey','PO20 0ND',485319,93883,50.738302,-0.792271,Chichester

241931,'Viking Food','Viking Music And Dance Club, Green Lawns Caravan Park, Chichester Road, Selsey','PO20 0ND',485319,93883,50.738302,-0.792271,Chichester

241944,'Walnut Tree Inn','Vinnetrow Road, Runcton, Chichester, West Sussex','PO20 1QB',488083,102635,50.816574,-0.751017,Chichester

241956,'West Wittering And District','Royal British Legion Club, Legion Way, East Wittering, Chichester','PO20 8PA',480379,96707,50.764387,-0.861647,Chichester

241959,'Westbourne Social Club','River Street, Westbourne, Emsworth, West Sussex','PO10 8TG',475801,107845,50.865152,-0.924250,Chichester

241965,'Wheatsheaf Inn','Wool Lane, Midhurst, West Sussex','GU29 9BX',488602,121474,50.985862,-0.739086,Chichester

241968,'White Horse','The Square, Westbourne, Emsworth, West Sussex','PO10 8UE',475681,107431,50.861436,-0.926040,Chichester

241969,'White Horse Club & Sports Bar','JB Complex, White Horse Caravan Park, Paddock Lane, Selsey','PO20 9EJ',485319,93883,50.738302,-0.792271,Chichester

241971,'White Horse Inn','East Street, Rogate, Petersfield, West Sussex','GU31 5EA',480826,123777,51.007709,-0.849332,Chichester

241973,'White Swan','Station Road, Bosham, Chichester, West Sussex','PO18 8NG',481225,105350,50.841985,-0.847745,Chichester

241979,'Wickham Arms','102 Bognor Road, Chichester, West Sussex','PO19 7TW',487325,104471,50.833204,-0.761352,Chichester

242001,'Yeee Ha!','2 Knock Hundred House, Knockhundred Row, Midhurst, West Sussex','GU29 9DQ',488668,121593,50.986921,-0.738132,Chichester

242004,'Zee Bar','Student Union Building, Bishop Otter Campus, College Lane, Chichester','PO19 6PE',486382,105688,50.844278,-0.774439,Chichester

246303,'The Flying Bull','The Flying Bull Inn, London Road, Rake, Liss, GU33 7JB','GU33 7JB',480382,127807,51.044003,-0.854781,Chichester
